image,video,subject,exercise,split,frame
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_001_bicep_curl_bad_diagonal_frame_000048.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_001_bicep_curl_bad_diagonal.mp4,001,bicep_curl,train,48
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_001_bicep_curl_bad_diagonal_frame_000083.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_001_bicep_curl_bad_diagonal.mp4,001,bicep_curl,train,83
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_001_bicep_curl_bad_diagonal_frame_000118.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_001_bicep_curl_bad_diagonal.mp4,001,bicep_curl,train,118
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_001_bicep_curl_bad_diagonal_frame_000153.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_001_bicep_curl_bad_diagonal.mp4,001,bicep_curl,train,153
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_001_bicep_curl_bad_diagonal_frame_000188.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_001_bicep_curl_bad_diagonal.mp4,001,bicep_curl,train,188
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_001_bicep_curl_bad_diagonal_frame_000223.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_001_bicep_curl_bad_diagonal.mp4,001,bicep_curl,train,223
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_001_bicep_curl_bad_diagonal_frame_000259.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_001_bicep_curl_bad_diagonal.mp4,001,bicep_curl,train,259
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_001_bicep_curl_bad_diagonal_frame_000294.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_001_bicep_curl_bad_diagonal.mp4,001,bicep_curl,train,294
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_001_bicep_curl_bad_diagonal_frame_000329.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_001_bicep_curl_bad_diagonal.mp4,001,bicep_curl,train,329
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_001_bicep_curl_bad_diagonal_frame_000364.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_001_bicep_curl_bad_diagonal.mp4,001,bicep_curl,train,364
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_001_bicep_curl_bad_diagonal_frame_000399.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_001_bicep_curl_bad_diagonal.mp4,001,bicep_curl,train,399
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_001_bicep_curl_bad_diagonal_frame_000435.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_001_bicep_curl_bad_diagonal.mp4,001,bicep_curl,train,435
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_002_bicep_curl_bad_diagonal_frame_000050.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_002_bicep_curl_bad_diagonal.mp4,002,bicep_curl,train,50
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_002_bicep_curl_bad_diagonal_frame_000086.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_002_bicep_curl_bad_diagonal.mp4,002,bicep_curl,train,86
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_002_bicep_curl_bad_diagonal_frame_000122.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_002_bicep_curl_bad_diagonal.mp4,002,bicep_curl,train,122
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_002_bicep_curl_bad_diagonal_frame_000159.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_002_bicep_curl_bad_diagonal.mp4,002,bicep_curl,train,159
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_002_bicep_curl_bad_diagonal_frame_000195.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_002_bicep_curl_bad_diagonal.mp4,002,bicep_curl,train,195
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_002_bicep_curl_bad_diagonal_frame_000231.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_002_bicep_curl_bad_diagonal.mp4,002,bicep_curl,train,231
