path,subject,exercise,quality,view,split
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_001_bicep_curl_bad_diagonal.mp4,001,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_002_bicep_curl_bad_diagonal.mp4,002,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_003_bicep_curl_bad_diagonal.mp4,003,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_004_bicep_curl_bad_diagonal.mp4,004,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_005_bicep_curl_bad_diagonal.mp4,005,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_006_bicep_curl_bad_diagonal.mp4,006,bicep_curl,bad,diagonal,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_007_bicep_curl_bad_diagonal.mp4,007,bicep_curl,bad,diagonal,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_008_bicep_curl_bad_diagonal.mp4,008,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_009_bicep_curl_bad_diagonal.mp4,009,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_010_bicep_curl_bad_diagonal.mp4,010,bicep_curl,bad,diagonal,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_011_bicep_curl_bad_diagonal.mp4,011,bicep_curl,bad,diagonal,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_012_bicep_curl_bad_diagonal.mp4,012,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_013_bicep_curl_bad_diagonal.mp4,013,bicep_curl,bad,diagonal,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_014_bicep_curl_bad_diagonal.mp4,014,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_015_bicep_curl_bad_diagonal.mp4,015,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_016_bicep_curl_bad_diagonal.mp4,016,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_017_bicep_curl_bad_diagonal.mp4,017,bicep_curl,bad,diagonal,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_018_bicep_curl_bad_diagonal.mp4,018,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_019_bicep_curl_bad_diagonal.mp4,019,bicep_curl,bad,diagonal,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_020_bicep_curl_bad_diagonal.mp4,020,bicep_curl,bad,diagonal,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_021_bicep_curl_bad_diagonal.mp4,021,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_022_bicep_curl_bad_diagonal.mp4,022,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_023_bicep_curl_bad_diagonal.mp4,023,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_024_bicep_curl_bad_diagonal.mp4,024,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_026_bicep_curl_bad_diagonal.mp4,026,bicep_curl,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_001_bicep_curl_bad_front.mp4,001,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_002_bicep_curl_bad_front.mp4,002,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_003_bicep_curl_bad_front.mp4,003,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_004_bicep_curl_bad_front.mp4,004,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_005_bicep_curl_bad_front.mp4,005,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_006_bicep_curl_bad_front.mp4,006,bicep_curl,bad,front,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_007_bicep_curl_bad_front.mp4,007,bicep_curl,bad,front,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_008_bicep_curl_bad_front.mp4,008,bicep_curl,bad,front,train
