split,exercise,quality,target,video,subject,sampled_frames
test,bicep_curl,bad,0,subject_010_bicep_curl_bad_diagonal,010,12
test,bicep_curl,bad,0,subject_010_bicep_curl_bad_front,010,12
test,bicep_curl,bad,0,subject_010_bicep_curl_bad_side,010,12
test,bicep_curl,bad,0,subject_013_bicep_curl_bad_diagonal,013,12
test,bicep_curl,bad,0,subject_013_bicep_curl_bad_front,013,12
test,bicep_curl,bad,0,subject_013_bicep_curl_bad_side,013,12
test,bicep_curl,bad,0,subject_017_bicep_curl_bad_diagonal,017,12
test,bicep_curl,bad,0,subject_017_bicep_curl_bad_front,017,12
test,bicep_curl,bad,0,subject_017_bicep_curl_bad_side,017,12
test,bicep_curl,bad,0,subject_020_bicep_curl_bad_diagonal,020,12
test,bicep_curl,bad,0,subject_020_bicep_curl_bad_front,020,12
test,bicep_curl,bad,0,subject_020_bicep_curl_bad_side,020,12
test,bicep_curl,good,1,subject_010_bicep_curl_good_diagonal,010,12
test,bicep_curl,good,1,subject_010_bicep_curl_good_front,010,12
test,bicep_curl,good,1,subject_010_bicep_curl_good_side,010,12
test,bicep_curl,good,1,subject_013_bicep_curl_good_diagonal,013,12
test,bicep_curl,good,1,subject_013_bicep_curl_good_front,013,12
test,bicep_curl,good,1,subject_013_bicep_curl_good_side,013,12
test,bicep_curl,good,1,subject_017_bicep_curl_good_diagonal,017,12
test,bicep_curl,good,1,subject_017_bicep_curl_good_front,017,12
test,bicep_curl,good,1,subject_017_bicep_curl_good_side,017,12
test,bicep_curl,good,1,subject_020_bicep_curl_good_diagonal,020,12
test,bicep_curl,good,1,subject_020_bicep_curl_good_front,020,12
test,bicep_curl,good,1,subject_020_bicep_curl_good_side,020,12
test,push_up,bad,0,subject_010_push_up_bad_diagonal,010,12
test,push_up,bad,0,subject_010_push_up_bad_front,010,12
test,push_up,bad,0,subject_010_push_up_bad_side,010,12
test,push_up,bad,0,subject_013_push_up_bad_diagonal,013,12
test,push_up,bad,0,subject_013_push_up_bad_front,013,12
test,push_up,bad,0,subject_013_push_up_bad_side,013,12
test,push_up,bad,0,subject_017_push_up_bad_diagonal,017,12
test,push_up,bad,0,subject_017_push_up_bad_front,017,12
test,push_up,bad,0,subject_017_push_up_bad_side,017,12
test,push_up,bad,0,subject_020_push_up_bad_diagonal,020,12
test,push_up,bad,0,subject_020_push_up_bad_front,020,12
test,push_up,bad,0,subject_020_push_up_bad_side,020,12
test,push_up,good,1,subject_010_push_up_good_diagonal,010,12
test,push_up,good,1,subject_010_push_up_good_front,010,12
test,push_up,good,1,subject_010_push_up_good_side,010,12
test,push_up,good,1,subject_013_push_up_good_diagonal,013,12
test,push_up,good,1,subject_013_push_up_good_front,013,12
test,push_up,good,1,subject_013_push_up_good_side,013,12
test,push_up,good,1,subject_017_push_up_good_diagonal,017,12
test,push_up,good,1,subject_017_push_up_good_front,017,12
test,push_up,good,1,subject_017_push_up_good_side,017,12
test,push_up,good,1,subject_020_push_up_good_diagonal,020,12
test,push_up,good,1,subject_020_push_up_good_front,020,12
test,push_up,good,1,subject_020_push_up_good_side,020,12
test,squat,bad,0,subject_010_squat_bad_diagonal,010,12
test,squat,bad,0,subject_010_squat_bad_front,010,12
test,squat,bad,0,subject_010_squat_bad_side,010,12
test,squat,bad,0,subject_013_squat_bad_diagonal,013,12
test,squat,bad,0,subject_013_squat_bad_front,013,12
test,squat,bad,0,subject_013_squat_bad_side,013,12
test,squat,bad,0,subject_017_squat_bad_diagonal,017,12
test,squat,bad,0,subject_017_squat_bad_front,017,12
test,squat,bad,0,subject_017_squat_bad_side,017,12
test,squat,bad,0,subject_020_squat_bad_diagonal,020,12
test,squat,bad,0,subject_020_squat_bad_front,020,12
test,squat,bad,0,subject_020_squat_bad_side,020,12
test,squat,good,1,subject_010_squat_good_diagonal,010,12
test,squat,good,1,subject_010_squat_good_front,010,12
test,squat,good,1,subject_010_squat_good_side,010,12
test,squat,good,1,subject_013_squat_good_diagonal,013,12
test,squat,good,1,subject_013_squat_good_front,013,12
test,squat,good,1,subject_013_squat_good_side,013,12
test,squat,good,1,subject_017_squat_good_diagonal,017,12
test,squat,good,1,subject_017_squat_good_front,017,12
test,squat,good,1,subject_017_squat_good_side,017,12
test,squat,good,1,subject_020_squat_good_diagonal,020,12
test,squat,good,1,subject_020_squat_good_front,020,12
test,squat,good,1,subject_020_squat_good_side,020,12
