epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.1647,1.29395,0.45833,0.99769,1.08918,0.000331852,0.000331852,0.000331852
2,62.324,0.79225,0.46991,0.99769,1.32413,0.00064637,0.00064637,0.00064637
3,92.1419,0.69363,0.45949,0.99769,1.18296,0.000942031,0.000942031,0.000942031
4,121.879,0.56918,0.44213,0.99884,1.3867,0.000915143,0.000915143,0.000915143
5,151.477,0.44388,0.47685,0.99884,1.45196,0.000886857,0.000886857,0.000886857
6,181.128,0.38546,0.45023,1,1.38998,0.000858571,0.000858571,0.000858571
7,210.779,0.32124,0.45486,0.99074,1.61994,0.000830286,0.000830286,0.000830286
8,240.366,0.23329,0.44444,1,1.73409,0.000802,0.000802,0.000802
9,270.405,0.22594,0.45139,0.99769,1.92054,0.000773714,0.000773714,0.000773714
10,299.832,0.19718,0.43866,0.98843,1.82426,0.000745429,0.000745429,0.000745429
11,329.378,0.16829,0.45023,1,1.82526,0.000717143,0.000717143,0.000717143
12,358.809,0.11006,0.43981,0.98843,2.37274,0.000688857,0.000688857,0.000688857
13,388.183,0.10929,0.46528,0.9919,2.25272,0.000660571,0.000660571,0.000660571
14,417.665,0.10308,0.43981,0.98958,2.37651,0.000632286,0.000632286,0.000632286
15,447.315,0.10604,0.42824,0.99421,2.29595,0.000604,0.000604,0.000604
