epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,38.4737,0.46105,0.87616,1,0.27584,0.000474216,0.000474216,0.000474216
2,77.0006,0.18585,0.8912,1,0.28162,0.000919181,0.000919181,0.000919181
3,115.614,0.16479,0.81597,1,0.39027,0.00133271,0.00133271,0.00133271
4,153.353,0.12484,0.8912,1,0.28679,0.00128753,0.00128753,0.00128753
5,191.779,0.06683,0.89468,1,0.31504,0.00124037,0.00124037,0.00124037
6,230.374,0.06995,0.84375,1,0.4565,0.00119322,0.00119322,0.00119322
7,267.57,0.03948,0.89236,1,0.42696,0.00114606,0.00114606,0.00114606
8,301.098,0.03811,0.8588,1,0.42647,0.0010989,0.0010989,0.0010989
9,337.999,0.02457,0.90046,1,0.30932,0.00105174,0.00105174,0.00105174
10,373.402,0.01582,0.90972,1,0.28713,0.00100459,0.00100459,0.00100459
11,406.217,0.01644,0.87847,1,0.52677,0.00095743,0.00095743,0.00095743
12,442.612,0.02238,0.88194,1,0.46275,0.000910273,0.000910273,0.000910273
13,478.174,0.00988,0.89352,1,0.3608,0.000863116,0.000863116,0.000863116
14,512.753,0.00505,0.89815,1,0.32146,0.000815959,0.000815959,0.000815959
15,551.163,0.00162,0.92824,1,0.2711,0.000768802,0.000768802,0.000768802
16,588.926,0.00436,0.85995,1,0.67018,0.000721645,0.000721645,0.000721645
17,626.546,0.00665,0.88657,1,0.45003,0.000674488,0.000674488,0.000674488
18,664.729,0.00378,0.87616,1,0.56992,0.000627331,0.000627331,0.000627331
19,703.074,0.00414,0.88657,1,0.51995,0.000580174,0.000580174,0.000580174
20,740.906,0.00655,0.90046,1,0.37973,0.000533017,0.000533017,0.000533017
21,776.866,0.00479,0.92824,1,0.24421,0.00048586,0.00048586,0.00048586
22,814.455,0.00345,0.91435,1,0.35085,0.000438703,0.000438703,0.000438703
23,851.906,0.00129,0.9213,1,0.29014,0.000391546,0.000391546,0.000391546
